iter	Passed	Remaining
0	46	13873
1	93	13877
2	139	13797
3	185	13761
4	234	13862
5	284	13932
6	334	14009
7	388	14168
8	439	14225
9	488	14160
10	536	14107
11	588	14132
12	639	14118
13	694	14189
14	751	14276
15	817	14503
16	885	14734
17	953	14945
18	1025	15161
19	1095	15338
20	1172	15574
21	1249	15786
22	1324	15950
23	1404	16146
24	1487	16365
25	1565	16499
26	1644	16629
27	1729	16800
28	1812	16941
29	1897	17076
30	1989	17259
31	2078	17404
32	2164	17514
33	2250	17610
34	2336	17688
35	2435	17857
36	2592	18425
37	2730	18824
38	2871	19216
39	3010	19570
40	3167	20008
41	3284	20173
42	3406	20361
43	3519	20475
44	3632	20584
45	3755	20736
46	3873	20849
47	3987	20934
48	4094	20975
49	4198	20994
50	4304	21015
51	4420	21082
52	4529	21109
53	4641	21142
54	4767	21237
55	4882	21275
56	5001	21322
57	5116	21347
58	5235	21386
59	5355	21423
60	5472	21441
61	5576	21407
62	5679	21365
63	5786	21338
64	5893	21306
65	6000	21273
66	6103	21227
67	6209	21184
68	6312	21133
69	6419	21092
70	6521	21032
71	6629	20994
72	6733	20939
73	6839	20888
74	6943	20830
75	7046	20767
76	7147	20699
77	7254	20647
78	7355	20576
79	7459	20512
80	7564	20452
81	7664	20375
82	7760	20288
83	7854	20196
84	7959	20132
85	8061	20059
86	8170	20003
87	8274	19933
88	8368	19839
89	8460	19740
90	8554	19647
91	8651	19559
92	8737	19448
93	8824	19338
94	8910	19227
95	9005	19136
96	9088	19021
97	9178	18918
98	9262	18805
99	9350	18700
100	9439	18598
101	9523	18487
102	9608	18377
103	9695	18272
104	9782	18167
105	9868	18061
106	9994	18028
107	10089	17937
108	10181	17840
109	10269	17737
110	10355	17631
111	10438	17522
112	10526	17419
113	10614	17318
114	10708	17226
115	10801	17133
116	10898	17045
117	10989	16950
118	11085	16861
119	11175	16763
120	11259	16656
121	11344	16552
122	11431	16450
123	11515	16345
124	11601	16242
125	11689	16142
126	11777	16042
127	11873	15955
128	11968	15864
129	12061	15772
130	12153	15679
131	12248	15588
132	12343	15499
133	12452	15425
134	12556	15346
135	12660	15267
136	12764	15186
137	12866	15104
138	12972	15025
139	13090	14960
140	13198	14883
141	13316	14816
142	13435	14750
143	13553	14682
144	13666	14608
145	13779	14534
146	13896	14463
147	14016	14394
148	14130	14320
149	14244	14244
150	14361	14171
151	14475	14094
152	14587	14015
153	14710	13946
154	14829	13872
155	14942	13792
156	15057	13714
157	15179	13642
158	15295	13563
159	15414	13488
160	15532	13410
161	15652	13333
162	15765	13250
163	15883	13171
164	16011	13100
165	16134	13024
166	16254	12944
167	16366	12859
168	16473	12769
169	16576	12676
170	16675	12579
171	16776	12484
172	16883	12394
173	16986	12300
174	17096	12211
175	17222	12134
176	17335	12046
177	17449	11959
178	17566	11874
179	17687	11791
180	17806	11706
181	17923	11620
182	18039	11533
183	18157	11447
184	18274	11359
185	18408	11282
186	18543	11205
187	18662	11117
188	18778	11028
189	18895	10939
190	19005	10846
191	19121	10755
192	19239	10666
193	19357	10576
194	19475	10486
195	19593	10396
196	19710	10305
197	19825	10212
198	19941	10121
199	20060	10030
200	20175	9937
201	20295	9846
202	20438	9766
203	20576	9682
204	20711	9598
205	20840	9509
206	20969	9420
207	21095	9330
208	21222	9240
209	21360	9154
210	21493	9065
211	21620	8974
212	21750	8884
213	21876	8791
214	22006	8700
215	22137	8609
216	22262	8514
217	22388	8421
218	22517	8328
219	22648	8235
220	22774	8141
221	22902	8046
222	23032	7953
223	23160	7858
224	23285	7761
225	23425	7670
226	23552	7574
227	23678	7477
228	23810	7382
229	23956	7291
230	24109	7201
231	24256	7109
232	24388	7013
233	24523	6916
234	24685	6827
235	24845	6737
236	24992	6643
237	25140	6549
238	25289	6454
239	25441	6360
240	25595	6266
241	25745	6170
242	25894	6074
243	26045	5977
244	26182	5877
245	26309	5775
246	26436	5672
247	26570	5571
248	26709	5470
249	26843	5368
250	26978	5266
251	27111	5164
252	27245	5061
253	27376	4957
254	27508	4854
255	27645	4751
256	27775	4647
257	27905	4542
258	28033	4437
259	28162	4332
260	28282	4226
261	28396	4118
262	28509	4010
263	28624	3903
264	28740	3795
265	28848	3687
266	28949	3578
267	29054	3469
268	29154	3359
269	29259	3251
270	29373	3143
271	29484	3035
272	29605	2928
273	29726	2820
274	29841	2712
275	29960	2605
276	30065	2496
277	30166	2387
278	30271	2278
279	30383	2170
280	30496	2062
281	30612	1954
282	30723	1845
283	30838	1737
284	30949	1628
285	31064	1520
286	31178	1412
287	31279	1303
288	31379	1194
289	31482	1085
290	31587	976
291	31710	868
292	31817	760
293	31930	651
294	32054	543
295	32181	434
296	32312	326
297	32439	217
298	32560	108
299	32673	0
